Main SKU,Product Name,Brand,Manufacturer,Quantity in Pack,HS Code,Cost in INR(PacK),Cost In INR (Unit),Fragile,Weight of Pack (in gms),Weight per Unit(in gms),Length(in mm),Width(in mm),Height(in mm),FSSAI Lic No.,UPC/EAN,HAZMAT Required,Temperature Sensitive,Special Packaging Required
IG-10FSTAR,5 Star 10rs,Cadbury,,40,18069010,400,10.00,No,880,22,,,,,,,,
IG-5FSTAR,5 Star 5rs,Cadbury,,54,18069010,270,5.00,No,545,10,,,,,,,,
IG-NAMT,Aam Modak Tablets,Nagad Narayan,Nagad Narayan Agro Foods,24,,,0.00,No,,0,,,,12217017000180,9928912670227,,,
IG-AAMPACHK,Aam Pachak,Bajaj,,,,,,,,,,,,,,,,
IG-ALPLP,Alpenliebe - POP,Alpenliebe,Perfetti Van Melle India Pvt Ltd,48,17049020,240,5.00,No,384,8,,,,10012042000284,,No,Yes,
IG-ALPCRM,Alpenliebe-Butter Toffee,Alpenliebe,Perfetti Van Melle India Pvt Ltd,100,17049020,100,1.00,No,380,4,,,,,,No,Yes,
IG-ALPGW,Alpenliebe-Gold Strawberry toffee,Alpenliebe,Perfetti Van Melle India Pvt Ltd,100,17049020,100,1.00,No,380,4,,,,,,No,Yes,
IG-ALPGOLD,Alpenliebe-Gold Toffee,Alpenliebe,Perfetti Van Melle India Pvt Ltd,100,17049020,100,1.00,No,390,4,,,,,,No,Yes,
IG-CHULIMLI,A-One Chulbuli Imli,A-One,A-one nuts and edibles pvt ltd,1,20089999,60,60.00,No,200,200,,,,12218026000487,,No,Yes,
IG-BKM,Banarsi Kaccha Aam,Champko,Polo Sweets,20,,,0.00,No,100,5,,,,12119441000101,,,,
IG-BGBUL,Big Babool,Perfitti,,1,17041000,55,55.00,No,24,24,,,,,,,,
IG-10BINGOAM,‎Bingo! Mad Angles -Achari Masti 10rs,Bingo!,ITC Ltd,1,19049000,10,10.00,No,,0,,,,10012031000312,,No,,
IG-5BINGOAM,‎Bingo! Mad Angles -Achari Masti 5rs,Bingo!,ITC Ltd,1,19049000,5,5.00,No,,0,,,,10012031000312,,No,,
IG-10BINGOTM,‎Bingo! Mad Angles -Tomato Madness 10 Rs,Bingo!,ITC Ltd,1,19049000,10,10.00,No,,0,,,,10012031000312,,No,,
IG-5BINGOTM,‎Bingo! Mad Angles -Tomato Madness 5 Rs,Bingo!,ITC Ltd,1,19049000,5,5.00,No,,0,,,,10012031000312,,No,,
IG-BLKMNG,Black Mango Aampapad,Chick's,Polo Sweets,28,17049020,28,1.00,No,140,5,,,,,,,,
IG-BOOMER,BOOMER Chewing Gum,Boomer,‎Wrigley India Pvt Ltd,150,17041000,150,1.00,No,510,3,,,,,,No,Yes,
IG-FUSE,Cadbury Fuse,Cadbury,,,,,,,,,,,,,,,,
IG-CTRFRSH,Center Fresh,Perfitti,Perfetti Van Melle India Pvt Ltd,225,17041000,225,1.00,No,675,3,,,,,,No,Yes,
IG-CTRFRSHF,Center Fresh Fruity Mint ,Perfitti,,,,,,,,,,,,,,,,
IG-CTRFM,Center Fresh Mint ,Perfitti,Perfetti Van Melle India Pvt Ltd,24,17049090,240,10.00,No,110,5,,,,,,No,Yes,
IG-CTRFRUT,Center Fruit,Perfitti,Perfetti Van Melle India Pvt Ltd,200,17041000,200,1.00,No,600,3,,,,,,No,Yes,
IG-CTRFRUTB,Center Fruit Tennis Ball,Perfitti,,,,,,,,,,,,,,,,
IG-CTRFRUWTM,Center Fruit Watermelon,Perfitti,,,,,,,,,,,,,,,,
IG-CHAAPT,Chaa pat,Prika's,,,,,,,,,,,,,,,,
IG-NCM,Chatak Matak,Nagad Narayan,Nagad Narayan Agro Ind.,24,,,0.00,No,,0,,,,12217017000180,,,,
IG-CHOCLRS,Choclairs,Cadbury,,110,18069010,200,1.82,No,605,6,,,,,,,,
IG-CCSECLR,Cintu Choco Soft Eclairs,Cintu,,,,,,,,,,,,,,,,
IG-LUVP,Cintu Luv Paan,Cintu,Prayagh Nutri Products Pvt Ltd,70,18069010,350,5.00,No,770,11,,,,,,No,Yes,
IG-KOKOHRT,Cintu-KOKO Heartz Candies,Cintu,Prayagh Nutri Products Pvt Ltd,150,17049090,150,1.00,No,570,4,,,,,,,,
IG-PANRS,Cintu-Pan Rasiya Candies,Cintu,Prayagh Nutri Products Pvt Ltd,166,17049090,166,1.00,No,664,4,,,,,,,,
IG-JELLY,Cocon - Jelly,Cocon,Cocon Fruit Industries,100,17049010,400,4.00,No,1500,15,,,,,,No,No,
IG-COCOPED,Coconut Peda,,,,,,,,,,,,,,,,,
IG-COFYBT,Coffy Bite,Lotte,Lotte India Corporation,30,17049090,150,5.00,No,690,23,,,,10013042001091,,,,
IG-COLST,Colorful Stars,,,,,,,No,,,,,,,,,,
IG-5-2CRAX,Crax 10rs,Crax,,1,17059090,5,5.00,No,,0,,,,,,,,
IG-5CRAX,Crax 5rs,Crax,,1,17059090,5,5.00,No,,0,,,,,,,,
IG-NTKT,Crax-Natkhat,Crax,See First Letter of Batch No.,1,21069099,5,5.00,No,18,18,,,,,,No,No,
IG-CDMSB,Dairy Milk Silk Bubbly,Cadbury,,,,,,,,,,,,,,,,
IG-DESIPOP,Desi Pops,Go desi,,40,17049030,450,11.25,No,750,19,,,,,,,,
IG-DLRCC,Dollor Coin Choclate,,,40,18069010,400,10.00,No,140,4,,,,,,,,
IG-ECLER,Eclairs Elaichi Rich,AMBER,Nagad Narayan Agro Foods,,,,,,320,,,,,,,No,Yes,
IG-IMLIRL,eemli Roll,Humdum,Humdum Food Product Grih Udyog,120,17049020,120,1.00,No,660,6,,,,,,,,
IG-ERUPCHNGM,europe chewing gum,Europe,,,,,,,,,,,,,,,,
IG-FATAFAT,Fatafat,,,,,,,,,,,,,,,,,
IG-FXCRYSTL,fox's crystal clear fruit candy,Nestle,,,,,,,,,,,,,,,,
IG-FUNFLIPSKM,FUNFLIPS Khatta Meetha,Fun Flips,,,,,,,,,,,,,,,,
IG-FUNFLIPSMS,FUNFLIPS Masala,Fun Flips,,,,,,,,,,,,,,,,
IG-FUNFLIPSTG,FUNFLIPS Tango,Fun Flips,,,,,,,,,,,,,,,,
IG-MPPG,GeeF-Magic Pops Grape,GeeF,Yiwudana International LTD,40,17049090,700,17.50,No,220,6,,,,,,No,No,
IG-MPPL,GeeF-Magic Pops Lychee,GeeF,Yiwudana International LTD,40,17049090,700,17.50,No,220,6,,,,10020022012003,,No,No,
IG-MPPO,GeeF-Magic Pops Orange,GeeF,Yiwudana International LTD,40,17049090,700,17.50,No,220,6,,,,,,No,No,
IG-MPPS,GeeF-Magic Pops Strawberry,GeeF,Yiwudana International LTD,40,17049090,700,17.50,No,220,6,,,,,,No,No,
IG-CDBRYGM,Gems,Cadbury,Mondelez India Food Pvt Ltd,1,18069010,5,5.00,No,,0,,,,,7622201798260,,,
IG-FISHJELLY,Gold Fish Jelly,,,,,,,,,,,,,,,,,
IG-GURUCH,Guru Chela,Guruchela,,,,,,,,,,,,,,,,
IG-HJMLA,HAJMOLA ANARDANA,Dabur hajmola,,,,,,,,,,,,,,,,
IG-HJMLCC,HAJMOLA CHAT COLA,Dabur hajmola,,,,,,,,,,,,,,,,
IG-HJMLI,Hajmola Imli,Dabur hajmola,,,,,,,,,,,,,,,,
IG-HJMLL,HAJMOLA Lime,Dabur hajmola,,,,,,,,,,,,,,,,
IG-HJMLP,Hajmola Pudina,Dabur hajmola,,,,,,,,,,,,,,,,
IG-SKLTFF,Haldiram's Snac lite-Fun Fingers,Haldiram,Haldiram Snanks Pvt Ltd,1,19059090,5,5.00,No,,0,,,,,,No,No,
IG-SKLTFFS,Haldiram's Snac lite-Fun fries,Haldiram,Haldiram Snanks Pvt Ltd,1,19059090,5,5.00,No,,0,,,,,,No,No,
IG-SKLTFW,Haldiram's Snac lite-fun wheels,Haldiram,Haldiram Snanks Pvt Ltd,1,19059090,5,5.00,No,,0,,,,,,No,No,
IG-HAPYWV,Happydent Wave,Happydent,,18,17041000,180,10.00,No,265,15,,,,,,No,Yes,
IG-HAPYWT,Happydent White Mint,Happydent,,18,17041000,180,10.00,No,277,15,,,,10012064000100,,No,Yes,
IG-HBCZM,HartBeat Carazon Candy Mix Fruit,HartBeat,Dugar Overseas Pvt Ltd,167,17049090,167,1.00,No,668,4,,,,,,No,,
IG-HBCZL,HartBeat Carazon Love Candy,HartBeat,Dugar Overseas Pvt Ltd,167,17049090,167,1.00,No,668,4,,,,,,,,
IG-HVIJS,Havai Jelly Sticks,RELIVE,Tifosi Foods Pvt Ltd,50,,,0.00,,750,15,,,,,,No,Yes,
IG-HGRYHVST,Hungry Harvest ,,,100,21069070,300,3.00,No,,0,,,,,,,,
IG-RIKROL,Hunny Rick Roll,,,,,300,,,,,,,,,,,,
IG-ICEBREAKER,Ice Breaker Mint,,,,,,,,,,,,,,,,,
IG-IMLIGOLA,imli gola,,,,,,,,,,,,,,,,,
IG-IMLILDU,Imli Laddu ,A-One,A-one nuts and edibles pvt ltd,1,20089999,30,30.00,No,100,100,,,,12218026000487,,No,No,
IG-JNP,Jalani Nimbu Pani,Jalani,Jalani Enterprises Ltd,30,21069040,,0.00,No,150,5,,,,10012013000474,,,,
IG-JALANIJAL,Jalani-Jaljira,Jalani,Jalani Enterprises Ltd,50,21069040,50,1.00,No,100,2,,,,,,Yes,Yes,
IG-AMPNA,Jalani-Pudina Aam Panna,Jalani,Jalani Enterprises Ltd,20,21069040,60,3.00,No,120,6,,,,,,No,Yes,
IG-JBLJC,Jalebi Bai Lal Juban Churan,VK,B.S. Products,30,,,0.00,No,,0,,,,12717001000431,,,,
IG-JMNGOLA,Jamun Gola,,,,,,,,,,,,,,,,,
IG-JMNJRA,Jamuni Jaljira,Tulsi,H.T. Products,50,,,0.00,No,200,4,,,,12214036000060,,,,
IG-JEERAG,Jeera Goli,,,,,,,,,,,,,,,,,
IG-KHTORIJ,Khatori Jar,,,150,17049020,150,1.00,No,750,5,,,,,,,,
IG-PKK,Khatori Khatti,Shiv Panchwati,Shiv Panchwati,,,,,No,,,,,,,,,,
IG-KFWBS,Kravour Foods Wafer Biscuits ,Kravour,Kravour Foods Pvt ltd,,,,,No,,,,,,,,,,
IG-KFWBSTB,Kravour Foods Wafer Biscuits Strawberry,Kravour,Kravour Foods Pvt ltd,,,,,No,,,,,,,,,,
IG-LCHAP,Lachpach Ajwain Pachak,Lachpach,,1,20089999,45,45.00,No,,0,,,,,,,,
IG-LCHPANRD,Lachpach Anardana Goli,Lachpach,,1,20089999,30,30.00,No,100,100,,,,12219026000793,,No,No,
IG-LCHPHRD,Lachpach Harde Special,Lachpach,,1,20089999,30,30.00,No,100,100,,,,FSSL 12219026000793,,No,,
IG-LCHHZMA,Lachpach Hazma Hazam Special,Lachpach,,1,20089999,40,40.00,No,100,100,,,,FSSL 12219026000793,,No,No,
IG-LCHPHP,Lachpach Hing Peda,Lachpach,,1,20089999,30,30.00,No,100,100,,,,,,,,
IG-LCHIB,Lachpach Imli Boota,Lachpach,,1,20089999,40,40.00,No,100,100,,,,,,,,
IG-LCHKMC,Lachpach Khattam Meetha Chhuhara,Lachpach,,1,20089999,35,35.00,No,100,100,,,,FSSL 12219026000793,,No,,
IG-LCHKP,Lachpach Kishmish Pachak,Lachpach,,1,20089999,40,40.00,No,100,100,,,,,,,,
IG-PODINAL,Lachpach Pudina Laddu,Tulsani Food industries,Tulsani Amber,24,20089999,40,1.67,No,100,4,,,,,,,,
IG-LMC,Lacto Milk Candy,AMBER,Nagad Narayan Agro Foods,,,,,,,,,,,,,,,
IG-LBCS,Lal Juban Churan Sticks,Gaurav Ji,GK Products,60,,,0.00,No,,0,,,,,,,,
IG-LCHKMA,Lapchap Khatta-Mittha Aampak 100gm,Lachpach,,1,20089999,35,35.00,,100,100,,,,,,,,
IG-LCTOKNG,Lotte Caramel Lolipops,Lotte,‎Lotte India Corp Ltd,100,17049020,200,2.00,No,690,7,,,,,,No,,
IG-MAGGIEMS,Maggie Masala,Maggi,,48,9103090,240,5.00,No,288,6,,,,,,,,
IG-MCHLLIMLI,Manchali Imli,,,1,20089999,50,50.00,No,100,100,,,,,,,,
IG-MNGOMST,Mango Masti,Leo,,,,,,,,,,,,,,,,
IG-MCSG,Manpasand Chennai Saunf Green,Manpasand,A-one Product,1,17049090,35,35.00,No,100,100,,,,,,,,
IG-MPMS,Manpasand Marwadi Saunf,Manpasand,A-one Product,1,20089999,35,35.00,No,100,100,,,,FSSL 12218026000718,,No,No,
IG-MSGS,Manpasand Saunf Green Special,Manpasand,A-one Product,1,20089999,35,35.00,No,100,100,,,,,,,,
IG-MSBLUBRY,Manpasand-Blue barry,Manpasand,A-one Product,1,17049090,35,35.00,No,100,100,,,,FSSL 12218026000718,,No,Yes,
IG-MCS,Manpasand-Chennai Saunf,Manpasand,A-one Product,1,17049090,30,30.00,No,100,100,,,,12218026000718,,No,Yes,
IG-MFBUBBLE,Marukawa Fusen Bubble Gum,,,,,,,,,,,,,,,,,
IG-KHTRIKHTA,Meeras Khatori Khatta,Meeras,Gauri Shankar Khatri And Sons,30,17049090,30,1.00,No,105,4,,,,,,,,
IG-KHTMKHTA,Meeras Khattam Khatta,Meeras,Gauri Shankar Khatri And Sons,30,17049090,30,1.00,No,120,4,,,,,,No,No,
IG-MCNCC,Mulberry CN Coconut Candy,Mulberry,,,,,,,595,,,,,12218027000355,,,,
IG-10MUNCH,Munch 10 Rs,Nestle,,35,18069010,350,10.00,No,1120,32,,,,,,,,
IG-5MUNCH,Munch 5 Rs,Nestle,,32,18069010,160,5.00,No,333,10,,,,,,,,
IG-NGDEG,Nagad Elaichi Goli,Nagad Narayan,Nagad Narayan Agro Foods,160,,,0.00,,450,3,,,,,,No,Yes,
IG-NKKG,Nagad Kala Khatta Goli,Nagad Narayan,Nagad Narayan Agro Foods,24,,,0.00,No,,0,,,,,,No,,
IG-NGDAG,Nagad Masala Anardana Goli,Nagad Narayan,Nagad Narayan Agro Foods,,,,,,,,,,,,,No,Yes,
IG-NTKTMWP,Natkhat Masala Wheat Puffs,Crax,,1,21069099,5,5.00,No,18,18,,,,,,,,
IG-10MILKYBR,Nestle Milky Bar 10 Rs,Nestle,Nestle India Ltd,27,17049090,270,10.00,No,338,13,,,,,,No,,
IG-20MILKYBR,Nestle Milky Bar 20 Rs,Nestle,Nestle India Ltd,24,17049090,480,20.00,No,588,25,,,,,,No,,
IG-POLO,Nestle-Polo Mint,Nestle,Nestle India Ltd,23,17049090,115,5.00,No,345,15,,,,,,No,Yes,
IG-PNPSNDG,Pan Pasand Gold,,,,,,,,,,,,,,,,,
IG-PNJNHJMLA,Panjon Hajmola Candy,Panjon,,,,,,,,,,,,,,,,
IG-PNJNMIX,Panjon MIx Fruit Candy,Panjon,,,,,,,,,,,,,,,,
IG-PNVA,Panva,Amber,Nagad Narayan Agro Foods,,,,,No,,,,,,10018013001679,,,,
IG-KISMI,Parle Kismi Toffee,Parle,Kohinoor Biscuit Products,50,17049020,50,1.00,No,246,5,,,,10013022002253,,,,
IG-KCHMB,Parle-Kacha Mango Bite,Parle,Parle Biscuits Pvt Ltd,50,17049020,50,1.00,No,277,6,,,,,,No,No,
IG-PARMAN,Parle-Mango Bite,Parle,Parle Biscuits Pvt Ltd,50,17049020,50,1.00,No,289,6,,,,,,No,,
IG-PRLEMEL,Parle-Melody Choclaty,Parle,See First two Letters of Batch No.,100,18069010,100,1.00,No,391,4,,,,,,No,,
IG-PASSPASS,Pass Pass,Pass Pass,,,,,,,,,,,,,,,,
IG-PHNTMCIG,Phantom Sweet Cigarettes,,,24,17049020,240,10.00,No,696,29,,,,,,,,
IG-PDINAMODK,Podina Laddu,Lachpach,,1,,40,40.00,,,0,,,,,,,,
IG-POPPINS,Poppins,Parle,,50,17049020,100,2.00,No,720,14,,,,,,,,
IG-PULSE,Pulse Candy,Pass Pass,,167,17049020,167,1.00,No,668,4,,,,,,,,
IG-5SLVRP,Rajnigandha Silver Pearls 10 rs,Rajnigandha,DS CONFECTIONERY PRODUCTS LIMITED,1,20081920,10,10.00,No,,0,,,,10019011006679 ,,No,Yes,
IG-50SLVRP,Rajnigandha Silver Pearls 50 rs,Rajnigandha,DS CONFECTIONERY PRODUCTS LIMITED,1,20081920,50,50.00,No,,0,,,,10019011006679 ,,No,Yes,
IG-RL,Ram Laddu,,,1,20089999,35,35.00,No,100,100,,,,,,,,
IG-ANDN,Rinkas Anardana,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,450,15,,,,13319005000072,,,,
IG-CHNDS,Rinkas Chand Sitare,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,390,13,,,,13319005000072,,,,
IG-CHATM,Rinkas Chatmola,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,450,15,,,,13319005000072,,,,
IG-RGFC,Rinka's Gluco Fish Candy,Rinka's,Anil Food Industries,,,,,No,,,,,,13319005000072,,,,
IG-RPUDINA,Rinka's Pudina,Rinka's,Anil Food Industries,,,,,No,,,,,,13319005000072,,,,
IG-STTT,Satmola Tim Tim Taare,Satmola,SSG Pharma Pvt Ltd.,20,,,0.00,No,60,3,,,,,8906037913745,,,
IG-1SLVRP,Silver Pearls 1rs,Rajnigandha,,220,20081920,220,1.00,No,,0,,,,,,,,
IG-SMC,Sugar Candy Masala,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-SOC,Sugar Candy Orange,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-SPC,Sugar Candy Pan,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-TDEMEDE,Tedhe Medhe,Bingo!,,1,10063010,5,5.00,No,,0,,,,,,,,
IG-TICTAC,Tic Tac,Tic Tac ,,24,17049090,240,10.00,No,173,7,,,,,,No,No,
IG-TTTB,Tim Tim Taare(Bottle),Satmola,SSG Pharma Pvt Ltd.,,,,,No,,,,,,,8906037913752,,,
IG-ORBIT,Wrigley's Orbit,Wrigley's,‎Wrigley India Pvt Ltd,32,17041000,160,5.00,No,141,4,,,,,,No,Yes,
